report_year,technology_description,weighted_avg_capex_per_mw
1994,Coal,409453.50426471647
1995,Coal,466083.8264463052
1996,Coal,492690.1035718166
1997,Coal,488910.7579730645
1998,Coal,497825.8015649168
1999,Coal,470154.65223429236
2000,Coal,467755.9653459213
2001,Coal,485122.5337295978
2002,Coal,504328.64660597336
2003,Coal,537169.2946162566
2004,Coal,559483.4558908701
2005,Coal,575950.4296149752
2006,Coal,574603.648907515
2007,Coal,594970.775256931
2008,Coal,657977.8069916728
2009,Coal,702330.5750762653
2010,Coal,767316.2486985371
2011,Coal,818443.158497154
2012,Coal,849061.7563943317
2013,Coal,867883.3943789665
2014,Coal,904277.0318941968
2015,Coal,985248.5418325285
2016,Coal,1048488.1769802052
2017,Coal,1064966.693770367
2018,Coal,1114681.7008854486
2019,Coal,1168817.2218161193
2020,Coal,1191593.881216863
2021,Coal,1256267.4206615305
2022,Coal,1283336.3881494633
2023,Coal,1248150.175539241
1995,Geothermal,2672052.8
2001,Geothermal,2708012.8
2002,Geothermal,2701921.0
2003,Geothermal,2730342.5
2004,Geothermal,2749100.4999999995
2005,Geothermal,2742908.9
2006,Geothermal,2768395.0999999996
2007,Geothermal,2983113.5
2008,Geothermal,3051735.0
2009,Geothermal,3128778.2
2010,Geothermal,3129752.7
2011,Geothermal,3135614.5
2012,Geothermal,3162608.7
2013,Geothermal,3217183.6
2014,Geothermal,3986538.2
2015,Geothermal,4015776.4
2016,Geothermal,4018006.1999999997
2017,Geothermal,4032972.2000000007
2018,Geothermal,4064273.3999999994
2019,Geothermal,4065946.7
2020,Geothermal,4167129.7000000007
2021,Geothermal,4225553.0
2022,Geothermal,4253034.0
2023,Geothermal,4268530.0
1994,Natural Gas Fired CC,237155.8265279267
1995,Natural Gas Fired CC,379054.9041391686
1996,Natural Gas Fired CC,388240.5919301752
1997,Natural Gas Fired CC,367025.1456381046
1998,Natural Gas Fired CC,393729.6797358778
1999,Natural Gas Fired CC,413593.74055496114
2000,Natural Gas Fired CC,429231.25314436
2001,Natural Gas Fired CC,402429.6734359746
2002,Natural Gas Fired CC,407127.7252346462
2003,Natural Gas Fired CC,415357.22135216644
2004,Natural Gas Fired CC,409958.19701752876
2005,Natural Gas Fired CC,410150.15784810606
2006,Natural Gas Fired CC,420116.93204448157
2007,Natural Gas Fired CC,456903.60347061063
2008,Natural Gas Fired CC,479407.77473076753
2009,Natural Gas Fired CC,482435.1017608772
2010,Natural Gas Fired CC,516671.68898190843
2011,Natural Gas Fired CC,565780.1498581284
2012,Natural Gas Fired CC,607665.9220381612
2013,Natural Gas Fired CC,642388.3644495982
2014,Natural Gas Fired CC,662186.9956301642
2015,Natural Gas Fired CC,677055.0441599181
2016,Natural Gas Fired CC,706919.2943007097
2017,Natural Gas Fired CC,721826.4723763451
2018,Natural Gas Fired CC,715226.3763645862
2019,Natural Gas Fired CC,673347.7344534455
2020,Natural Gas Fired CC,708318.2908625982
2021,Natural Gas Fired CC,682713.7090137844
2022,Natural Gas Fired CC,690554.4861097139
2023,Natural Gas Fired CC,686018.3705696972
