plant_name_ferc1,plant_id_eia,technology_description,report_year,installation_year,capacity_mw_x,capacity_kw,capex_total,capex_per_kw,state,latitude,longitude
ab brown turbine 4,6137.0,Natural Gas Fired CT,2002,2002.0,88.2,88200.0,30846472.0,349.73324263038546,IN,37.9053,-87.715
aberdeen #2,3338.0,Natural Gas Fired CT,2013,2013.0,82.2,82200.0,47953770.0,583.379197080292,SD,45.429884,-98.49396
acadia,55173.0,Natural Gas Fired CC,2011,2002.0,578.0,578000.0,333174356.0,576.4262214532872,LA,30.428611,-92.41306
acadia unit 1,55173.0,Natural Gas Fired CC,2013,2002.0,694.6,694600.0,256286425.0,368.9698027641808,LA,30.428611,-92.41306
afton turbine,55210.0,Natural Gas Fired CC,2004,2002.0,141.0,141000.0,79641435.0,564.8328723404255,NM,32.114185,-106.8465
angus anson,7237.0,Natural Gas Fired CT,2005,2005.0,390.58,390580.0,116801284.0,299.0457371089149,SD,43.60347,-96.6356
audrain ctg,55234.0,Natural Gas Fired CT,2006,2001.0,509.0,509000.0,171998476.0,337.91449115913554,MO,39.3092,-91.5369
barre peaker,56474.0,Natural Gas Fired CT,2011,2007.0,60.5,60500.0,77027542.0,1273.1825123966942,CA,33.8073,-117.9832
barry cc,3.0,Natural Gas Fired CC,2004,2001.0,1132.03,1132030.0,362625907.0,320.3324178687844,AL,31.0069,-88.0103
bear garden,56807.0,Natural Gas Fired CC,2011,2011.0,791.0,791000.0,602181066.0,761.2908546144122,VA,37.695556,-76.71032
bennett mountain,7953.0,Natural Gas Fired CT,2005,2005.0,172.8,172800.0,53054712.0,307.02958333333333,ID,43.179176,-115.7343
black mountain,56482.0,Natural Gas Fired CT,2011,2008.0,142.0,142000.0,61608245.0,433.86088028169013,AZ,35.0361,-114.1594
blue spruce,55645.0,Natural Gas Fired CT,2010,2003.0,310.0,310000.0,215648095.0,695.6390161290323,CO,39.747875,-104.6814
brown ct_2001_209,1355.0,Natural Gas Fired CT,2002,2001.0,204.0,204000.0,71276343.0,349.39383823529414,KY,37.78831,-84.71257
brown ct_2001_210,1355.0,Natural Gas Fired CT,2002,2001.0,861.0,861000.0,244518836.0,283.99400232288036,KY,37.78831,-84.71257
buck_2011,2720.0,Coal,2011,2011.0,691.1,691100.0,626325863.0,906.2738576182896,NC,35.7133,-80.3767
burnips,1880.0,Natural Gas Fired CT,2001,2001.0,52.4,52400.0,11826396.0,225.69458015267176,MI,42.731,-85.8551
cadiz (henry county),7763.0,Natural Gas Fired CT,2008,2001.0,129.0,129000.0,74328694.0,576.1914263565891,IN,39.9528,-85.5039
calcasieu,55165.0,Natural Gas Fired CT,2008,2001.0,168.0,168000.0,112570431.0,670.0620892857143,LA,30.1608,-93.345
cape canaveral,609.0,Natural Gas Fired CC,2013,2013.0,1295.0,1295000.0,874596968.0,675.364454054054,FL,28.4698,-80.7644
