MODEL SUMMARY STATISTICS
Statistic	Value
Observations	7,668
Entities	405.0
Time Periods	29.0
R-squared	0.0750
R-squared (Within)	0.0553
F-statistic	21.3537
F-statistic p-value	0.000000

EVENT STUDY COEFFICIENTS (MILLIONS)
Year	Event_t	Coefficient ($M)	Std Error ($M)	t-stat	P-value	CI Lower ($M)	CI Upper ($M)
1996	1	15.0	4.5	3.302	0.0010	6.1	23.9
1997	2	4.0	0.8	4.736	0.0000	2.3	5.7
1998	3	1.1	1.2	0.920	0.3575	-1.2	3.4
1999	4	1.1	2.5	0.447	0.6552	-3.8	6.0
2000	5	7.7	2.0	3.885	0.0001	3.8	11.5
2001	6	12.3	5.0	2.456	0.0141	2.5	22.1
2002	7	13.1	3.2	4.021	0.0001	6.7	19.4
2003	8	20.6	5.1	4.035	0.0001	10.6	30.6
2004	9	15.6	3.5	4.433	0.0000	8.7	22.6
2005	10	10.1	2.4	4.319	0.0000	5.5	14.8
2006	11	8.4	6.6	1.267	0.2051	-4.6	21.4
2007	12	28.0	8.9	3.157	0.0016	10.6	45.4
2008	13	33.2	9.1	3.654	0.0003	15.4	51.1
2009	14	43.9	12.6	3.470	0.0005	19.1	68.7
2010	15	46.7	11.1	4.202	0.0000	24.9	68.5
2011	16	18.4	6.1	3.002	0.0027	6.4	30.5
2012	17	14.9	4.1	3.594	0.0003	6.8	23.0
2013	18	24.8	7.5	3.292	0.0010	10.0	39.5
2014	19	40.0	9.9	4.041	0.0001	20.6	59.4
2015	20	62.4	9.8	6.390	0.0000	43.3	81.6
2016	21	47.2	10.7	4.394	0.0000	26.1	68.2
2017	22	12.3	3.7	3.340	0.0008	5.1	19.6
2018	23	39.2	16.9	2.316	0.0206	6.0	72.4
2019	24	52.6	14.4	3.662	0.0003	24.4	80.7
2020	25	16.7	8.8	1.897	0.0579	-0.6	34.0
2021	26	15.9	7.1	2.239	0.0252	2.0	29.7
2022	27	14.8	7.0	2.105	0.0353	1.0	28.6
2023	28	4.1	5.7	0.721	0.4711	-7.0	15.2
